CustomerID,Recency,Frequency,Monetary,LastPurchaseDate,R_Score,F_Score,M_Score,RFM_Score,Segment
12399,119,4,1108.65,2011-08-12 13:15:00,2,4,4,244,At Risk
12401,303,1,84.3,2011-02-09 13:50:00,1,1,1,111,Lost Customers
12402,323,1,225.60000000000002,2011-01-20 13:49:00,1,1,1,111,Lost Customers
12403,50,1,427.7,2011-10-21 10:51:00,3,1,2,312,Other
12405,149,1,1710.39,2011-07-14 08:52:00,2,1,4,214,At Risk
12406,22,2,3415.3,2011-11-17 19:22:00,4,2,5,425,Potential Loyalists
12407,50,5,1708.12,2011-10-21 10:11:00,3,4,4,344,Loyal Customers
12408,33,5,2888.55,2011-11-07 12:27:00,3,4,5,345,Loyal Customers
12409,79,3,11072.67,2011-09-22 10:38:00,2,3,5,235,At Risk
12410,309,2,693.33,2011-02-04 10:39:00,1,2,3,123,Lost Customers
12412,75,3,1226.88,2011-09-26 10:16:00,2,3,4,234,At Risk
12413,67,3,758.1,2011-10-04 09:00:00,3,3,3,333,Other
12414,217,3,562.4100000000001,2011-05-06 14:51:00,1,3,3,133,At Risk
12415,24,21,124914.53,2011-11-15 14:22:00,4,5,5,455,Champions
12417,3,9,3649.1,2011-12-06 14:52:00,5,5,5,555,Champions
12418,113,1,668.58,2011-08-19 11:08:00,2,1,3,213,Lost Customers
12420,64,1,600.39,2011-10-07 08:55:00,3,1,3,313,Other
12421,16,4,807.04,2011-11-24 09:07:00,4,4,3,443,Loyal Customers
12422,96,3,803.5600000000001,2011-09-05 09:48:00,2,3,3,233,At Risk
12423,1,8,1859.31,2011-12-09 10:10:00,5,5,4,554,Champions
12424,163,2,1760.96,2011-06-30 12:06:00,2,2,4,224,At Risk
12425,78,1,777.2,2011-09-22 17:31:00,2,1,3,213,Lost Customers
12426,195,1,582.73,2011-05-29 12:26:00,1,1,3,113,Lost Customers
12427,22,3,825.8000000000001,2011-11-18 08:56:00,4,3,3,433,Potential Loyalists
12428,26,9,7956.46,2011-11-14 08:22:00,4,5,5,455,Champions
12429,9,4,3750.4,2011-11-30 17:22:00,5,4,5,545,Champions
12430,43,1,256.4,2011-10-27 15:09:00,3,1,2,312,Other
12431,36,15,6419.95,2011-11-04 11:55:00,3,5,5,355,Loyal Customers
12432,43,5,5059.32,2011-10-28 11:43:00,3,4,5,345,Loyal Customers
12433,1,7,13375.87,2011-12-09 10:02:00,5,5,5,555,Champions
12434,85,2,806.14,2011-09-16 12:38:00,2,2,3,223,Lost Customers
12435,80,2,7829.89,2011-09-21 09:06:00,2,2,5,225,At Risk
12436,100,1,509.01,2011-09-01 12:09:00,2,1,3,213,Lost Customers
12437,2,18,4951.41,2011-12-08 11:35:00,5,5,5,555,Champions
12438,14,2,2906.85,2011-11-25 13:28:00,4,2,5,425,Potential Loyalists
12441,367,1,173.55,2010-12-08 10:45:00,1,1,1,111,Lost Customers
12442,3,1,172.06,2011-12-06 14:22:00,5,1,1,511,New Customers
12444,21,5,5005.46,2011-11-18 13:23:00,4,4,5,445,Champions
12445,22,1,133.4,2011-11-17 18:43:00,4,1,1,411,New Customers
12446,58,1,1002.3100000000001,2011-10-13 12:50:00,3,1,4,314,Other
12447,243,1,476.49,2011-04-10 13:25:00,1,1,2,112,Lost Customers
12448,44,1,449.45,2011-10-26 13:46:00,3,1,2,312,Other
12449,22,4,4067.29,2011-11-17 13:46:00,4,4,5,445,Champions
12450,156,2,197.88,2011-07-06 14:41:00,2,2,1,221,Lost Customers
12451,11,5,9035.52,2011-11-29 08:40:00,5,4,5,545,Champions
12452,17,2,430.57000000000005,2011-11-23 10:28:00,4,2,2,422,Potential Loyalists
12453,134,1,707.09,2011-07-28 14:08:00,2,1,3,213,Lost Customers
12454,56,1,3528.34,2011-10-14 17:13:00,3,1,5,315,Other
12455,73,6,2466.86,2011-09-27 15:31:00,2,4,5,245,At Risk
12456,44,3,3181.04,2011-10-26 14:41:00,3,3,5,335,Other
12457,66,7,2363.23,2011-10-04 13:13:00,3,5,5,355,Loyal Customers
12458,71,2,947.4,2011-09-29 15:25:00,3,2,4,324,Other
12461,94,2,826.88,2011-09-06 16:57:00,2,2,3,223,Lost Customers
12462,19,2,1189.59,2011-11-21 09:11:00,4,2,4,424,Potential Loyalists
12463,53,4,1344.78,2011-10-17 13:44:00,3,4,4,344,Loyal Customers
12464,10,8,1212.05,2011-11-29 13:33:00,5,5,4,554,Champions
12465,17,2,742.19,2011-11-22 16:34:00,4,2,3,423,Potential Loyalists
12468,188,2,729.54,2011-06-05 11:36:00,1,2,3,123,Lost Customers
12471,2,30,19788.65,2011-12-07 15:43:00,5,5,5,555,Champions
12472,32,7,6572.11,2011-11-07 14:01:00,4,5,5,455,Champions
12473,29,5,3928.05,2011-11-10 13:46:00,4,4,5,445,Champions
12474,17,18,7324.09,2011-11-22 14:39:00,4,5,5,455,Champions
12475,54,1,723.38,2011-10-17 10:10:00,3,1,3,313,Other
12476,16,11,6816.42,2011-11-24 12:40:00,4,5,5,455,Champions
12477,23,6,13219.74,2011-11-17 09:51:00,4,4,5,445,Champions
12478,4,1,680.99,2011-12-06 09:56:00,5,1,3,513,New Customers
12479,11,1,527.2,2011-11-28 13:26:00,5,1,3,513,New Customers
12480,28,4,3281.63,2011-11-11 14:52:00,4,4,5,445,Champions
12481,23,10,5579.82,2011-11-17 08:29:00,4,5,5,455,Champions
12483,17,8,2484.98,2011-11-22 17:02:00,4,5,5,455,Champions
12484,33,6,4527.32,2011-11-07 11:37:00,3,4,5,345,Loyal Customers
12488,10,3,1298.66,2011-11-30 08:50:00,5,3,4,534,Potential Loyalists
12489,336,1,334.93,2011-01-07 13:13:00,1,1,2,112,Lost Customers
12490,5,10,5417.93,2011-12-04 16:07:00,5,5,5,555,Champions
12491,39,1,460.40000000000003,2011-11-01 12:18:00,3,1,2,312,Other
12492,63,2,263.21000000000004,2011-10-07 15:15:00,3,2,2,322,Other
12493,166,2,433.74,2011-06-27 10:17:00,2,2,2,222,Lost Customers
12494,16,7,1246.1,2011-11-24 09:34:00,4,5,4,454,Champions
12497,82,1,1043.1,2011-09-19 12:29:00,2,1,4,214,At Risk
12498,21,3,403.70000000000005,2011-11-18 12:53:00,4,3,2,432,Potential Loyalists
12500,23,11,4257.82,2011-11-16 16:20:00,4,5,5,455,Champions
12501,337,1,2169.39,2011-01-07 12:28:00,1,1,5,115,At Risk
12502,96,5,3723.87,2011-09-05 11:52:00,2,4,5,245,At Risk
12504,18,2,482.04999999999995,2011-11-21 16:02:00,4,2,2,422,Potential Loyalists
12506,233,1,73.5,2011-04-21 08:54:00,1,1,1,111,Lost Customers
12507,134,3,1304.81,2011-07-28 17:09:00,2,3,4,234,At Risk
12508,26,2,397.88,2011-11-13 15:37:00,4,2,2,422,Potential Loyalists
12509,284,1,176.5,2011-02-28 14:45:00,1,1,1,111,Lost Customers
12510,143,2,982.5699999999999,2011-07-20 10:15:00,2,2,4,224,At Risk
12512,66,2,132.18,2011-10-04 14:55:00,3,2,1,321,Other
12513,113,1,612.29,2011-08-19 10:51:00,2,1,3,213,Lost Customers
12514,267,1,1017.6800000000001,2011-03-17 16:38:00,1,1,4,114,At Risk
12515,353,1,383.7,2010-12-21 15:43:00,1,1,2,112,Lost Customers
12516,78,2,1312.06,2011-09-23 09:13:00,2,2,4,224,At Risk
12517,28,5,2481.6,2011-11-11 14:04:00,4,4,5,445,Champions
12518,1,5,2056.89,2011-12-09 10:13:00,5,4,5,545,Champions
12519,64,1,330.84000000000003,2011-10-07 09:26:00,3,1,2,312,Other
12520,79,5,2634.26,2011-09-21 15:23:00,2,4,5,245,At Risk
12521,143,1,599.68,2011-07-20 10:51:00,2,1,3,213,Lost Customers
12522,39,2,192.72,2011-10-31 15:30:00,3,2,1,321,Other
12523,19,11,1789.77,2011-11-20 12:55:00,4,5,4,454,Champions
12524,9,8,4485.72,2011-11-30 15:31:00,5,5,5,555,Champions
12526,1,3,1316.66,2011-12-09 12:09:00,5,3,4,534,Potential Loyalists
12527,82,3,348.71000000000004,2011-09-19 11:55:00,2,3,2,232,At Risk
12528,9,6,1933.48,2011-11-30 14:40:00,5,4,4,544,Champions
12530,60,4,1662.28,2011-10-11 12:34:00,3,4,4,344,Loyal Customers
12531,15,1,125.22,2011-11-25 11:12:00,4,1,1,411,New Customers
12532,30,1,349.83000000000004,2011-11-09 13:47:00,4,1,2,412,New Customers
12534,131,1,1089.18,2011-08-01 10:26:00,2,1,4,214,At Risk
12535,92,2,716.35,2011-09-09 08:48:00,2,2,3,223,Lost Customers
12536,43,3,12601.830000000002,2011-10-27 14:20:00,3,3,5,335,Other
12538,29,1,363.95,2011-11-10 17:16:00,4,1,2,412,New Customers
12539,22,4,5568.35,2011-11-17 13:30:00,4,4,5,445,Champions
12540,20,17,13400.24,2011-11-20 11:31:00,4,5,5,455,Champions
12541,30,3,981.18,2011-11-10 10:40:00,4,3,4,434,Potential Loyalists
12544,36,1,372.7,2011-11-03 16:15:00,3,1,2,312,Other
12545,75,2,1000.39,2011-09-25 13:39:00,2,2,4,224,At Risk
12546,47,2,1161.5,2011-10-24 12:09:00,3,2,4,324,Other
12547,198,2,207.8,2011-05-26 12:38:00,1,2,1,121,Lost Customers
12548,166,1,95.19999999999999,2011-06-26 15:35:00,2,1,1,211,Lost Customers
12550,79,1,964.83,2011-09-21 14:35:00,2,1,4,214,At Risk
12551,358,1,168.0,2010-12-17 11:23:00,1,1,1,111,Lost Customers
12552,39,2,437.82,2011-11-01 10:02:00,3,2,2,322,Other
12553,8,10,3692.28,2011-12-01 16:38:00,5,5,5,555,Champions
12556,50,2,599.56,2011-10-20 13:06:00,3,2,3,323,Other
12557,16,5,11990.960000000001,2011-11-23 16:59:00,4,4,5,445,Champions
12558,8,1,269.96,2011-12-02 10:41:00,5,1,2,512,New Customers
12559,311,2,561.71,2011-02-02 09:49:00,1,2,3,123,Lost Customers
12560,5,3,2134.01,2011-12-04 13:54:00,5,3,5,535,Potential Loyalists
12561,303,1,238.85,2011-02-10 11:39:00,1,1,1,111,Lost Customers
12562,8,7,3781.7400000000002,2011-12-01 17:20:00,5,5,5,555,Champions
12564,261,1,456.90000000000003,2011-03-23 14:55:00,1,1,2,112,Lost Customers
12565,289,1,145.92000000000002,2011-02-24 10:34:00,1,1,1,111,Lost Customers
12566,86,1,351.65,2011-09-14 14:30:00,2,1,2,212,Lost Customers
12567,23,10,9401.28,2011-11-17 11:02:00,4,5,5,455,Champions
12569,2,32,4124.6900000000005,2011-12-07 16:24:00,5,5,5,555,Champions
12571,40,2,519.61,2011-10-31 10:19:00,3,2,3,323,Other
12572,9,2,1020.4200000000001,2011-12-01 09:20:00,5,2,4,524,Potential Loyalists
12573,227,1,160.54000000000002,2011-04-26 15:52:00,1,1,1,111,Lost Customers
12574,316,1,218.45000000000002,2011-01-28 09:20:00,1,1,1,111,Lost Customers
12576,36,5,1315.83,2011-11-04 10:11:00,3,4,4,344,Loyal Customers
12577,35,3,626.6,2011-11-04 13:24:00,3,3,3,333,Other
12578,21,2,2794.51,2011-11-18 13:30:00,4,2,5,425,Potential Loyalists
12579,78,1,440.42,2011-09-22 17:15:00,2,1,2,212,Lost Customers
12580,247,1,415.7,2011-04-07 10:24:00,1,1,2,112,Lost Customers
12581,40,1,197.71,2011-10-31 08:56:00,3,1,1,311,Other
12582,239,2,511.36,2011-04-15 08:45:00,1,2,3,123,Lost Customers
12583,3,15,7281.38,2011-12-07 08:07:00,5,5,5,555,Champions
12584,4,9,2338.15,2011-12-06 09:35:00,5,5,5,555,Champions
12585,234,2,2040.1,2011-04-19 13:39:00,1,2,4,124,At Risk
12586,17,1,196.94000000000003,2011-11-22 16:24:00,4,1,1,411,New Customers
12587,8,1,144.0,2011-12-02 12:47:00,5,1,1,511,New Customers
12588,39,1,214.89999999999998,2011-10-31 15:01:00,3,1,1,311,Other
12589,29,2,646.68,2011-11-11 10:19:00,4,2,3,423,Potential Loyalists
12590,211,2,9864.26,2011-05-12 14:52:00,1,2,5,125,At Risk
12591,317,1,452.84999999999997,2011-01-26 14:35:00,1,1,2,112,Lost Customers
12592,92,2,437.6,2011-09-08 15:04:00,2,2,2,222,Lost Customers
12593,109,3,418.1,2011-08-23 12:43:00,2,3,2,232,At Risk
12594,38,10,3338.2200000000003,2011-11-02 12:20:00,3,5,5,355,Loyal Customers
12596,51,2,618.27,2011-10-19 13:02:00,3,2,3,323,Other
12597,19,4,3811.22,2011-11-20 13:33:00,4,4,5,445,Champions
12598,10,8,3023.08,2011-11-30 12:18:00,5,5,5,555,Champions
12599,29,7,1032.58,2011-11-10 13:34:00,4,5,4,454,Champions
12600,29,10,2599.04,2011-11-11 10:29:00,4,5,5,455,Champions
12601,190,5,577.0600000000001,2011-06-03 10:17:00,1,4,3,143,At Risk
12602,59,1,153.12,2011-10-12 11:22:00,3,1,1,311,Other
12603,22,1,739.1999999999999,2011-11-18 10:42:00,4,1,3,413,New Customers
12604,79,2,254.18,2011-09-21 14:08:00,2,2,2,222,Lost Customers
12607,60,1,1579.51,2011-10-10 16:06:00,3,1,4,314,Other
12609,78,3,1126.85,2011-09-22 16:34:00,2,3,4,234,At Risk
12610,23,5,2099.54,2011-11-17 09:34:00,4,4,5,445,Champions
12611,52,1,1193.32,2011-10-18 13:12:00,3,1,4,314,Other
12612,74,1,704.04,2011-09-26 15:35:00,2,1,3,213,Lost Customers
12613,57,5,3344.38,2011-10-13 14:59:00,3,4,5,345,Loyal Customers
12614,278,1,315.6,2011-03-07 10:22:00,1,1,2,112,Lost Customers
12615,2,4,2291.19,2011-12-07 15:02:00,5,4,5,545,Champions
12616,95,2,713.3,2011-09-05 15:17:00,2,2,3,223,Lost Customers
12617,29,1,352.98,2011-11-10 14:39:00,4,1,2,412,New Customers
12618,22,1,177.31,2011-11-18 11:10:00,4,1,1,411,New Customers
12619,16,9,3641.24,2011-11-23 14:52:00,4,5,5,455,Champions
12620,15,3,1339.41,2011-11-25 10:20:00,4,3,4,434,Potential Loyalists
12621,2,20,13689.67,2011-12-08 11:25:00,5,5,5,555,Champions
12622,232,1,180.1,2011-04-21 16:39:00,1,1,1,111,Lost Customers
12623,276,1,305.1,2011-03-08 13:50:00,1,1,2,112,Lost Customers
12624,106,2,641.13,2011-08-25 15:04:00,2,2,3,223,Lost Customers
12625,212,2,2683.82,2011-05-12 09:54:00,1,2,5,125,At Risk
12626,23,9,6620.4800000000005,2011-11-16 16:06:00,4,5,5,455,Champions
12627,11,7,4478.53,2011-11-29 12:07:00,5,5,5,555,Champions
12628,4,3,786.46,2011-12-05 13:15:00,5,3,3,533,Potential Loyalists
12630,10,2,1270.88,2011-11-30 10:48:00,5,2,4,524,Potential Loyalists
12631,57,1,640.5,2011-10-13 13:53:00,3,1,3,313,Other
12633,59,4,2163.98,2011-10-12 11:40:00,3,4,5,345,Loyal Customers
12635,90,2,1689.18,2011-09-11 11:04:00,2,2,4,224,At Risk
12637,67,8,6002.9,2011-10-03 13:46:00,3,5,5,355,Loyal Customers
12638,33,1,671.69,2011-11-06 13:11:00,3,1,3,313,Other
12639,239,1,486.1,2011-04-15 12:48:00,1,1,2,112,Lost Customers
12640,24,3,1174.58,2011-11-16 11:52:00,4,3,4,434,Potential Loyalists
12641,115,1,185.9,2011-08-16 13:26:00,2,1,1,211,Lost Customers
12642,25,3,1013.26,2011-11-14 15:03:00,4,3,4,434,Potential Loyalists
12643,128,6,3344.64,2011-08-03 12:56:00,2,4,5,245,At Risk
12644,130,1,477.90999999999997,2011-08-02 10:33:00,2,1,2,212,Lost Customers
12645,34,4,1775.18,2011-11-06 12:38:00,3,4,4,344,Loyal Customers
12646,5,2,1346.97,2011-12-05 10:14:00,5,2,4,524,Potential Loyalists
12647,22,12,3722.82,2011-11-17 12:56:00,4,5,5,455,Champions
12648,155,1,318.05,2011-07-08 11:55:00,2,1,2,212,Lost Customers
12649,107,3,623.51,2011-08-24 14:41:00,2,3,3,233,At Risk
12650,3,1,314.44,2011-12-06 16:34:00,5,1,2,512,New Customers
12651,335,1,114.0,2011-01-09 12:46:00,1,1,1,111,Lost Customers
12652,331,1,919.98,2011-01-12 15:00:00,1,1,3,113,Lost Customers
12653,149,2,2209.85,2011-07-14 10:41:00,2,2,5,225,At Risk
12654,11,5,601.98,2011-11-29 10:10:00,5,4,3,543,Loyal Customers
12656,17,5,4051.17,2011-11-22 13:42:00,4,4,5,445,Champions
12657,11,4,1643.18,2011-11-28 15:47:00,5,4,4,544,Champions
12658,19,1,686.05,2011-11-21 10:22:00,4,1,3,413,New Customers
12659,30,1,91.68,2011-11-10 11:53:00,4,1,1,411,New Customers
12660,11,1,245.10000000000002,2011-11-28 13:26:00,5,1,1,511,New Customers
12662,1,11,3849.78,2011-12-09 11:59:00,5,5,5,555,Champions
12664,8,9,4881.88,2011-12-01 17:07:00,5,5,5,555,Champions
12665,325,1,63.0,2011-01-19 08:34:00,1,1,1,111,Lost Customers
12667,58,1,620.13,2011-10-12 17:00:00,3,1,3,313,Other
12668,12,4,3807.15,2011-11-28 10:56:00,5,4,5,545,Champions
12669,151,3,2744.0299999999997,2011-07-12 09:54:00,2,3,5,235,At Risk
12670,10,5,2996.05,2011-11-29 15:23:00,5,4,5,545,Champions
12672,330,1,225.9,2011-01-14 09:20:00,1,1,1,111,Lost Customers
12673,5,2,610.52,2011-12-04 13:55:00,5,2,3,523,Potential Loyalists
12674,39,4,1970.6,2011-11-01 12:12:00,3,4,4,344,Loyal Customers
12676,25,6,1331.39,2011-11-15 12:25:00,4,4,4,444,Champions
12678,42,12,17628.46,2011-10-28 13:04:00,3,5,5,355,Loyal Customers
12679,59,4,1113.02,2011-10-12 12:30:00,3,4,4,344,Loyal Customers
12680,1,4,862.81,2011-12-09 12:50:00,5,4,3,543,Loyal Customers
12681,15,22,13787.54,2011-11-25 11:33:00,4,5,5,455,Champions
12682,4,31,12279.82,2011-12-06 10:00:00,5,5,5,555,Champions
12683,4,15,8476.57,2011-12-05 16:31:00,5,5,5,555,Champions
12684,8,7,2283.63,2011-12-02 09:53:00,5,5,5,555,Champions
12685,28,6,2863.08,2011-11-11 13:46:00,4,4,5,445,Champions
12686,372,1,89.14,2010-12-03 09:51:00,1,1,1,111,Lost Customers
12688,114,1,4873.81,2011-08-18 08:49:00,2,1,5,215,At Risk
12689,26,2,1247.6100000000001,2011-11-14 08:31:00,4,2,4,424,Potential Loyalists
12690,206,1,389.01,2011-05-18 09:09:00,1,1,2,112,Lost Customers
12691,28,6,1035.8,2011-11-11 16:49:00,4,4,4,444,Champions
12693,127,4,855.91,2011-08-04 17:51:00,2,4,3,243,At Risk
12694,70,2,869.67,2011-09-30 13:06:00,3,2,3,323,Other
12695,7,4,582.1,2011-12-02 13:22:00,5,4,3,543,Loyal Customers
12697,29,3,957.59,2011-11-11 08:47:00,4,3,4,434,Potential Loyalists
12700,8,4,4939.99,2011-12-02 10:47:00,5,4,5,545,Champions
12701,80,2,797.71,2011-09-21 10:47:00,2,2,3,223,Lost Customers
12702,20,1,219.0,2011-11-20 10:36:00,4,1,1,411,New Customers
12703,71,1,283.55,2011-09-29 17:52:00,3,1,2,312,Other
12704,7,8,2340.84,2011-12-02 13:15:00,5,5,5,555,Champions
12705,15,9,6868.29,2011-11-24 13:17:00,4,5,5,455,Champions
12707,292,1,603.42,2011-02-21 08:38:00,1,1,3,113,Lost Customers
12708,30,10,2712.91,2011-11-10 09:52:00,4,5,5,455,Champions
12709,15,15,9706.52,2011-11-24 15:38:00,4,5,5,455,Champions
12710,97,3,1149.02,2011-09-04 12:00:00,2,3,4,234,At Risk
12712,29,13,4396.13,2011-11-11 08:19:00,4,5,5,455,Champions
12713,1,1,848.55,2011-12-09 12:16:00,5,1,3,513,New Customers
12714,9,5,4708.86,2011-11-30 15:43:00,5,4,5,545,Champions
12715,106,1,343.36,2011-08-25 15:22:00,2,1,2,212,Lost Customers
12716,4,2,1053.49,2011-12-06 08:55:00,5,2,4,524,Potential Loyalists
12717,151,2,1030.98,2011-07-11 14:47:00,2,2,4,224,At Risk
12718,71,1,238.25,2011-09-29 16:38:00,3,1,1,311,Other
12719,5,2,644.95,2011-12-04 13:45:00,5,2,3,523,Potential Loyalists
12720,3,25,5781.7300000000005,2011-12-07 08:03:00,5,5,5,555,Champions
12721,32,6,2656.13,2011-11-08 12:13:00,4,4,5,445,Champions
12722,85,4,997.63,2011-09-15 14:50:00,2,4,4,244,At Risk
12723,4,5,725.07,2011-12-06 10:19:00,5,4,3,543,Loyal Customers
12724,5,4,1031.41,2011-12-04 16:02:00,5,4,4,544,Champions
12725,371,1,427.8,2010-12-03 15:45:00,1,1,2,112,Lost Customers
12726,28,7,2609.1,2011-11-11 13:35:00,4,5,5,455,Champions
12727,11,7,3980.7000000000003,2011-11-29 11:46:00,5,5,5,555,Champions
12728,71,4,836.33,2011-09-29 15:31:00,3,4,3,343,Loyal Customers
12729,114,1,453.01,2011-08-18 11:40:00,2,1,2,212,Lost Customers
12731,24,12,18895.91,2011-11-16 11:59:00,4,5,5,455,Champions
12732,180,1,236.26000000000002,2011-06-13 11:33:00,1,1,1,111,Lost Customers
12733,234,1,383.95,2011-04-19 16:19:00,1,1,2,112,Lost Customers
12734,353,1,110.39999999999999,2010-12-22 12:47:00,1,1,1,111,Lost Customers
12735,315,2,779.5699999999999,2011-01-28 13:37:00,1,2,3,123,Lost Customers
12736,333,1,234.0,2011-01-11 07:57:00,1,1,1,111,Lost Customers
12738,372,1,155.35,2010-12-02 18:27:00,1,1,1,111,Lost Customers
12739,78,2,1013.04,2011-09-22 13:00:00,2,2,4,224,At Risk
12740,64,1,427.6,2011-10-07 10:44:00,3,1,2,312,Other
12743,134,2,540.13,2011-07-28 16:21:00,2,2,3,223,Lost Customers
12744,52,7,21279.29,2011-10-19 11:18:00,3,5,5,355,Loyal Customers
12747,2,11,4196.01,2011-12-07 14:34:00,5,5,5,555,Champions
12748,1,209,33053.19,2011-12-09 12:20:00,5,5,5,555,Champions
12749,4,5,4090.88,2011-12-06 09:56:00,5,4,5,545,Champions
12750,129,1,275.88,2011-08-03 09:13:00,2,1,2,212,Lost Customers
12752,81,1,4366.78,2011-09-19 13:32:00,2,1,5,215,At Risk
12753,23,6,21429.39,2011-11-17 10:52:00,4,4,5,445,Champions
12754,236,3,3010.74,2011-04-18 09:00:00,1,3,5,135,At Risk
12755,281,2,3811.9500000000003,2011-03-04 12:42:00,1,2,5,125,At Risk
12756,87,1,112.08,2011-09-14 09:31:00,2,1,1,211,Lost Customers
12757,16,13,7834.650000000001,2011-11-24 12:30:00,4,5,5,455,Champions
12758,117,2,2791.59,2011-08-15 10:22:00,2,2,5,225,At Risk
12759,52,3,1531.44,2011-10-18 14:49:00,3,3,4,334,Other
12762,8,2,1898.52,2011-12-02 10:23:00,5,2,4,524,Potential Loyalists
12763,138,2,494.08,2011-07-24 14:12:00,2,2,3,223,Lost Customers
12764,317,1,1693.88,2011-01-27 10:19:00,1,1,4,114,At Risk
12766,4,7,6989.63,2011-12-06 08:46:00,5,5,5,555,Champions
12769,239,1,1143.6,2011-04-15 10:25:00,1,1,4,114,At Risk
12770,211,1,1351.45,2011-05-13 09:33:00,1,1,4,114,At Risk
12772,60,1,892.47,2011-10-11 09:19:00,3,1,3,313,Other
12775,17,5,1386.04,2011-11-22 16:33:00,4,4,4,444,Champions
12778,20,6,822.23,2011-11-20 11:30:00,4,4,3,443,Loyal Customers
12779,38,8,3981.36,2011-11-02 11:43:00,3,5,5,355,Loyal Customers
12781,64,2,826.74,2011-10-07 10:37:00,3,2,3,323,Other
12782,5,5,2330.92,2011-12-05 09:16:00,5,4,5,545,Champions
12783,2,6,2225.91,2011-12-07 15:56:00,5,4,5,545,Champions
12784,9,2,532.82,2011-11-30 15:38:00,5,2,3,523,Potential Loyalists
12785,364,1,311.95,2010-12-10 13:48:00,1,1,2,112,Lost Customers
12787,10,3,463.66,2011-11-30 08:44:00,5,3,2,532,Potential Loyalists
12789,65,1,91.85,2011-10-05 13:34:00,3,1,1,311,Other
12790,192,1,324.92,2011-05-31 14:14:00,1,1,2,112,Lost Customers
12791,374,1,192.60000000000002,2010-12-01 11:27:00,1,1,1,111,Lost Customers
12792,257,1,400.54,2011-03-28 11:36:00,1,1,2,112,Lost Customers
12793,335,2,545.48,2011-01-09 12:12:00,1,2,3,123,Lost Customers
12794,53,2,860.41,2011-10-17 14:54:00,3,2,3,323,Other
